[轉發]徵才【Western Digital】Request for promotion of our engineering job position,Western Digital Global Recruiting 2023.pptx
[轉發]徵才【Western Digital】Request for promotion of our engineering job position,Western Digital Global Recruiting 2023.odp
"[轉發][活動] Google Taiwan Campus Talk, 2023 校園徵才說明會",Taiwan Campus Talk 2023 Talk.pdf
賀！2022排球新生盃資訊系榮獲季軍！,310424061_556100622983351_6288508607061565363_n.pdf
[轉發]亞德客有美助學金大一新生(及亞德客社會實踐公益服務活動)第2次公告申請,____ ____ _(111.8. 01)_新生-第2次公告.pdf
[轉發]亞德客有美助學金大一新生(及亞德客社會實踐公益服務活動)第2次公告申請,亞德客社會實踐公益服務活動( 111.10.12).pdf
[轉發]亞德客有美助學金大一新生(及亞德客社會實踐公益服務活動)第2次公告申請,111_________ 白申請表_new.odt
[轉發]亞德客有美助學金大一新生(及亞德客社會實踐公益服務活動)第2次公告申請,111____ 空白申請表_n ew111.07.25.odt
[轉發]教育部獎助生命教育碩博士論文及期刊論文要點公告周知,scan@email.ncku.edu.tw_20221012_100455.pdf
[轉發]大同股份有限公司111年度菁英獎學金辦法,2216_001.pdf
[轉發]第20屆育秀盃創意獎 函文：競賽簡章 敬邀各校參賽,____20_____ 意獎(大專院校).pdf
[轉發]第20屆育秀盃創意獎 函文：競賽簡章 敬邀各校參賽,image001.pdf
"[轉發](Call for Papers) 2023 International VLSI Symposium on Technology, Systems and Applications","2023 International VLSI Symposium on Technology, Systems and Applications_CFP e-flyer_final.pdf"
[轉發]國防醫學院三軍總醫院舉辦「2022國際資料科學研討會」，敬請貴單位惠予公告並鼓勵所屬踴躍參與,image001 (1).pdf
[轉發]宏國德霖科技大學「AERC 2022亞洲機器人運動競技大賽」活動相關訊息,WebFile.ashx-6.pdf
【徵才】國立成功大學資訊工程系 誠徵專任教師(3-6名師資),資訊工程學系新聘教師表格-姓名.doc
[轉發]臺南市政府函轉原住民族委員會及財團法人原住民族語言研究發展基金會委託國立臺灣師範大學辦理「111年度第2次原住民族語言能力認證測驗」訊息,WebFile.ashx.pdf
感謝資訊所博士班96級蔡競賢學長，關懷學生捐助本系！,image003.pdf
[轉發] 大同公司111年菁英獎學金辦法,111_______ 菁英獎學金辦法.pdf
